system,dim,L,M,steps,err_max,err_p99,err_median,failed,time_sec
chen,3,0.1,5,9900000,0.0002141910714379188,7.753851919874631e-06,6.750990337751261e-08,False,642.7262692451477
hypercai_4d,4,0.02,5,9900000,2.1137214598597045e-05,2.13037348261615e-06,1.0098596253836645e-07,False,626.0889925956726
lorenz,3,0.02,5,9900000,3.841670821864238e-05,8.30960537131564e-06,6.57057849336939e-07,False,611.8560633659363
mackeyglass_10d,10,0.1,5,9900000,6.734910168751274e-08,3.191947775530158e-08,7.809798569165834e-09,False,1338.325237751007
nuclearquadrupole_4d,4,0.02,5,9900000,5.763576288463558e-06,2.0723545084301115e-06,3.551394865828568e-07,False,623.597395658493
