M,autonomy_pct,total,passed,pass_rate,median_max_err
5,80.0,117,116,99.14529914529915,0.0004827030255209
10,90.0,117,116,99.14529914529915,0.0009675925167469
20,95.0,117,116,99.14529914529915,0.0019425060118559
30,96.66666666666667,117,115,98.29059829059828,0.0029419021939596
40,97.5,117,108,92.3076923076923,0.0042779694264282
50,98.0,117,86,73.50427350427351,0.0085455786029496
